CxContactTimes,CxGoalMostImpCP4,CxGoalMostImpCP4[other],CxGoalAchieve,CxSenseBelongPre,CxSenseBelong,QSPS1[SQ1],QSPS1[SQ2],QSPS1[SQ3],QSPS1[SQ4],QSPS1[SQ5],SPSScore,CxSPS1,CxSenseBelongInd,CxSenseBelongDif,CxGoalAchievSum,QAgeN,CxGenderFMD,CxGenderFMD[other],CxTransgender,CxIdentity[CxBlack],CxIdentity[CxPOC],CxIdentity[CxFNIM],CxIdentity[CxLGBTQ],CxIdentity[CxPersonDisab],CxIdentity[CxFrancophone],CxIdentity[CxNA],CxIdentity[CxDK],CxIdentity[CxRF],QFSA,CxAgeOTF
A1,A2,,,,A3,A4,A4,A3,A3,A4,18,High,A2,A2   ,RF,,,,,,,,,,,,,,,
A2,A1,,A3,A2,A3,A3,A4,A3,A3,A4,17,High,A2,A1   ,A3,,,,,,,,,,,,,,,
A1,A5,,,,A3,A3,A4,A3,A3,A3,16,High,A2,A2   ,RF,15,-oth-,Fluid-Masc(sometimes femme),Y,,,,,,Y,,,,n4g,A2
A3,A5,,A4,A3,A4,A4,A4,A4,A4,A4,20,High,A2,A1   ,A1,,,,,,,,,,,,,,,
A3,A6,,A5,A2,A3,A3,A3,A3,A3,A3,15,High,A2,A1   ,A1,,,,,,,,,,,,,,,
A3,A5,,A4,A3,A4,A4,A3,A3,A3,A4,17,High,A2,A1   ,A1,,,,,,,,,,,,,,,
A1,A2,,,,A1,A2,A3,A1,A4,A3,13,Mid,A1,A2   ,RF,,,,,,,,,,,,,,,
A3,A5,,A5,A2,A4,A3,A4,A4,A3,A4,18,High,A2,A1   ,A1,,,,,,,,,,,,,,,
A2,A3,,A4,A3,A4,A4,A4,A4,A4,A4,20,High,A2,A1   ,A1,,,,,,,,,,,,,,,
A1,A3,,,,A2,A2,A3,A3,A2,A3,13,Mid,A1,A2   ,RF,,,,,,,,,,,,,,,
A3,A5,,A4,A3,A4,A3,A3,A4,A4,A4,18,High,A2,A1   ,A1,,,,,,,,,,,,,,,
A1,A3,,,,A3,A3,A3,A3,A3,A4,16,High,A2,A2   ,RF,,,,,,,,,,,,,,,
A1,A3,,,,A2,A3,A3,A2,A2,A3,13,Mid,A1,A2   ,RF,,,,,,,,,,,,,,,
A2,A5,,A5,A3,A3,A4,A3,A3,A3,A3,16,High,A2,A2   ,A1,,M,,,,,,,,,,,,,
A3,A1,,A4,A3,A4,A3,A3,A3,A3,A3,15,High,A2,A1   ,A1,,F,,,,,,,,,,,,,
A3,A5,,A5,A4,A4,A4,A3,A4,A4,A4,19,High,A2,A2   ,A1,,,,,,,,,,,,,,,
A3,A1,,A4,A4,A4,,,,,,0,RF,A2,A2   ,A1,,,,,,,,,,,,,,,
A3,A5,,A5,A4,A4,A4,A4,A4,A4,A4,20,High,A2,A2   ,A1,58,F,,N,,Y,,,,,,,,,A5
A3,A3,,A5,A3,A3,,A2,A3,A3,,8,Low,A2,A2   ,A1,61,F,,N,,,,,,,,,,,A5
A3,A5,,A5,A3,A3,A3,RF,RF,RF,RF,3,RF,A2,A2   ,A1,,M,,,,,,,,,,,,,
A3,A1,,A4,A4,A4,RF,A3,A2,A3,A2,10,Mid,A2,A2   ,A1,,,,,,,,,,,,,,,
A3,A1,,A3,A3,A3,A3,A3,A3,A3,A3,15,High,A2,A2   ,A3,,,,,,,,,,,,,,,
A3,A5,,A5,A4,A4,A3,A3,A3,A3,A3,15,High,A2,A2   ,A1,,,,,,,,,,,,,,,
A3,A1,,A5,A4,A4,A4,A4,A4,A4,A4,20,High,A2,A2   ,A1,,F,,,,,,,,,,,,,
A3,A5,,A5,A3,A3,A3,A3,A3,A4,A4,17,High,A2,A2   ,A1,,F,,,,,,,,,,,,,
A3,A6,,A5,A4,A4,A4,RF,A3,A3,A4,14,Mid,A2,A2   ,A1,,,,,,,,,,,,,,,
A3,A1,,A5,A4,A4,A4,A3,A4,A3,A3,17,High,A2,A2   ,A1,,,,,,,,,,,,,,,
A2,A5,,A4,A2,A3,A3,A3,A4,A3,A3,16,High,A2,A1   ,A1,,,,,,,,,,,,,,,
A3,A1,,A5,A3,A3,A3,A3,A3,A4,A4,17,High,A2,A2   ,A1,,,,,,,,,,,,,,,
A3,A5,,A3,RF,RF,A3,A3,A3,A4,A3,16,High,RF,RF   ,A3,67,F,,N,,Y,,,,,,,,,A6
A3,A4,,A5,A3,A3,A3,A3,A3,A3,A3,15,High,A2,A2   ,A1,71,M,,N,,Y,,,,,,,,,A6
A3,-oth-,,RF,RF,A3,A4,A3,A3,A3,A3,16,High,A2,RF   ,RF,,F,,,,,,,,,,,,,
A3,A5,,A4,A2,A3,A3,A3,A3,A3,A3,15,High,A2,A1   ,A1,,,,,,,,,,,,,,,
A3,A5,,A5,A4,A4,A4,A4,A4,A4,A4,20,High,A2,A2   ,A1,,F,,,,,,,,,,,,,
A3,A5,,A5,A4,A4,A4,A3,A4,A4,A3,18,High,A2,A2   ,A1,,,,,,,,,,,,,,,
A3,-oth-,,A5,A4,A4,A4,A4,A3,A4,A3,18,High,A2,A2   ,A1,66,F,,N,,Y,,,,,,,,,A6
A3,A1,,A2,A1,A2,A4,A1,A3,A2,A4,14,Mid,A1,A1   ,A2,,,,,,,,,,,,,,,
A2,A5,,A4,A3,A3,A3,A3,A3,A3,A3,15,High,A2,A2   ,A1,,,,,,,,,,,,,,,
A3,A5,,A2,A2,A2,A3,A3,RF,A3,A3,12,Mid,A1,A2   ,A2,,,,,,,,,,,,,,,
A3,A5,,A5,A3,A3,A3,A4,A3,A3,A3,16,High,A2,A2   ,A1,66,M,,N,,Y,,,,,,,,,A6
A3,A4,,A5,A4,A4,A3,A3,A3,A3,A3,15,High,A2,A2   ,A1,59,F,,,,Y,,,,,,,,,A5
A3,A5,,A5,A4,A4,A4,A4,A4,A4,A4,20,High,A2,A2   ,A1,,,,,,,,,,,,,,,
A2,A3,,A4,RF,RF,A3,A3,A3,A3,A3,15,High,RF,RF   ,A1,72,M,,N,,Y,,,,,,,,,A6
A1,A2,,,,A4,A4,A4,A3,A3,A3,17,High,A2,A2   ,RF,,,,,,,,,,,,,,,
A3,A5,,A4,A3,A3,A3,A4,A3,A3,A4,17,High,A2,A2   ,A1,,M,,,,,,,,,,,,,
A3,A5,,A4,A3,A4,A4,A4,A4,A3,A4,19,High,A2,A1   ,A1,64,F,,N,,Y,,,,,,,,,A5
A3,A4,,A5,A4,A4,A4,A4,A4,A4,A4,20,High,A2,A2   ,A1,,,,,,,,,,,,,,,
A3,A5,,A5,A4,A4,A3,A3,A3,A3,A3,15,High,A2,A2   ,A1,,M,,,,,,,,,,,,,
A3,A5,,A5,A4,A4,A3,A3,A3,A3,A4,16,High,A2,A2   ,A1,60,F,,N,,Y,,,,,,,,,A5
A3,A5,,,A2,A3,A3,A3,A3,A3,A3,15,High,A2,A1   ,RF,,M,,,,,,,,,,,,,
A3,-oth-,,A5,A3,A3,A3,A3,A3,A3,A3,15,High,A2,A2   ,A1,,F,,,,,,,,,,,,,
A3,A5,,A5,A4,A4,A4,A3,A3,A4,A4,18,High,A2,A2   ,A1,,M,,,,,,,,,,,,,
A3,A2,,A5,A4,A4,A3,A3,A3,A3,A3,15,High,A2,A2   ,A1,,M,,,,,,,,,,,,,
A2,A5,,A3,A3,A3,RF,A1,A1,A3,A4,9,Low,A2,A2   ,A3,,F,,,,,,,,,,,,,
A3,A1,,A5,A2,A3,A4,A4,A3,A3,A4,18,High,A2,A1   ,A1,,M,,,,,,,,,,,,,
A3,A3,,A5,A4,A4,A3,A3,A1,A3,A3,13,Mid,A2,A2   ,A1,,F,,,,,,,,,,,,,
A3,A1,,A5,A4,A4,A4,A3,A3,A3,A4,17,High,A2,A2   ,A1,,,,,,,,,,,,,,,
A3,A5,,A4,A3,A3,A4,A4,A4,RF,A4,16,High,A2,A2   ,A1,,,,,,,,,,,,,,,
A3,A5,,A3,A4,A4,A4,A4,A4,A4,A4,20,High,A2,A2   ,A3,,,,,,,,,,,,,,,
A2,A5,,A5,A3,A4,A4,A3,A4,A4,A4,19,High,A2,A1   ,A1,,,,,,,,,,,,,,,
A3,A3,,A5,A4,A4,A4,A4,A4,A4,A3,19,High,A2,A2   ,A1,,,,,,,,,,,,,,,
A3,A5,,A5,A2,A3,A3,A3,A3,A3,A3,15,High,A2,A1   ,A1,,,,,,,,,,,,,,,
A3,A5,,A5,A4,A4,A3,A4,A3,A4,A4,18,High,A2,A2   ,A1,,,,,,,,,,,,,,,
A3,A5,,A5,A4,A4,A4,A4,A4,A3,A4,19,High,A2,A2   ,A1,,,,,,,,,,,,,,,
A3,A5,,A4,A3,A3,A3,A3,A3,A3,A3,15,High,A2,A2   ,A1,,F,,,,,,,,,,,,,
A3,A3,,A5,A3,A3,A3,A3,A3,A3,A4,16,High,A2,A2   ,A1,,F,,,,,,,,,,,,,
A3,A5,,A5,A4,A4,A4,A3,A3,A3,A3,16,High,A2,A2   ,A1,73,F,,N,,Y,,,,,,,,,A6
A3,A1,,A4,A3,A4,A3,A4,A4,A4,A3,18,High,A2,A1   ,A1,60,M,,N,,Y,,,,,,,,,A5
A1,A2,,,,A4,A3,A3,A3,A3,A2,14,Mid,A2,A2   ,RF,,M,,,,,,,,,,,,,
A2,A6,,A3,A3,A3,A2,A3,A2,A3,A3,13,Mid,A2,A2   ,A3,,M,,,,,,,,,,,,,
A1,A4,,,,A3,A3,A3,A3,A3,A3,15,High,A2,A2   ,RF,25,NB,,N,,,,,,Y,,,,L6L,A4
A3,A4,,A4,A4,A4,A3,A3,A3,A3,A3,15,High,A2,A2   ,A1,25,F,,Y,,Y,,,,,,,,L6L,A4
A3,A5,,A4,A3,A4,A4,A3,A3,A3,A3,16,High,A2,A1   ,A1,93,F,,,,,,,,,,,,m1v,A6
A3,A5,,A4,A2,A3,A3,A4,A3,A3,A3,16,High,A2,A1   ,A1,,M,,,,,,,,,,,,,
A3,A6,,A4,A3,A3,A3,A2,A3,A3,A3,14,Mid,A2,A2   ,A1,,F,,,,,,,,,,,,,
A2,-oth-,,A3,RF,RF,RF,RF,RF,RF,RF,0,RF,RF,RF   ,A3,,,,,,,,,,,,,,,
A3,-oth-,,A5,A4,A4,A3,A3,A3,A3,A3,15,High,A2,A2   ,A1,,,,,,,,,,,,,,,
A3,A1,,A5,A4,A4,A4,A4,A4,A4,A4,20,High,A2,A2   ,A1,,F,,,,,,,,,,,,,
A3,A5,,A4,A3,A4,A3,A3,A2,A3,A3,14,Mid,A2,A1   ,A1,63,F,,,,,,,,,,,,,A5
A2,A3,,A2,A2,A2,A3,A3,A3,A3,A3,15,High,A1,A2   ,A2,,,,,,,,,,,,,,,
A3,A4,,A4,RF,RF,A3,A3,A3,RF,A3,12,Mid,RF,RF   ,A1,,,,,,,,,,,,,,,
A1,A1,,,,A2,A3,A3,A3,A3,A3,15,High,A1,A2   ,RF,,,,,,,,,,,,,,,
A1,A5,,,,A2,A3,A3,A3,A3,A3,15,High,A1,A2   ,RF,30,M,,,,,,,,,,Y,,L6Y,A4
A3,A6,,A5,A3,A4,A3,A3,RF,A4,A3,13,Mid,A2,A1   ,A1,0,F,,N,,,,,,,,,,L6Y,
A3,A5,,A5,A3,A3,A3,A3,RF,A3,A3,12,Mid,A2,A2   ,A1,0,F,,N,,,,,,,,,,L6y,
A3,,,,,,,,,,,0,RF,RF,A2   ,RF,,,,,,,,,,,,,,,
A2,A5,,A5,A3,A4,A4,A4,A4,A4,A4,20,High,A2,A1   ,A1,36,M,,N,,Y,,,,,,,,M2J,A4
A2,A5,,A5,A4,A4,A4,A4,A4,A4,A4,20,High,A2,A2   ,A1,36,M,,N,,Y,,,,,,,,M2J,A4
A2,A5,,A4,A2,A3,A3,A3,A3,A3,A3,15,High,A2,A1   ,A1,65,F,,N,,Y,,,,,,,,L3S,A6
A2,A5,,A3,A2,A2,A3,A3,A3,A3,A3,15,High,A1,A2   ,A3,65,F,,N,,,,,,,Y,,,L3S,A6
A3,-oth-,Be able to talk to others who understand what I am dealing with as a caregiver,A5,A2,A4,,,,,,0,RF,A2,A1   ,A1,59,F,,N,,,,,,,Y,,,L8E,A5
A3,-oth-,to get information.,A4,A1,A4,,,,,,0,RF,A2,A1   ,A1,67,F,,N,,,,,,,Y,,,L6K,A6
A3,A5,,A5,A2,A4,,,,,,0,RF,A2,A1   ,A1,67,F,,N,,,,,,,,,,L6h,A6
A2,A3,,A5,A2,A4,,,,,,0,RF,A2,A1   ,A1,59,F,,N,,,,,Y,,,,,L6H,A5
A3,A5,,A4,A2,A4,,,,,,0,RF,A2,A1   ,A1,59,F,,N,,Y,,,,,,,,L7L,A5
A3,A6,,A5,A2,A2,,,,,,0,RF,A1,A2   ,A1,61,F,,N,,,,,,,Y,,,L9T,A5
A2,A4,,A4,A3,A4,,,,,,0,RF,A2,A1   ,A1,,F,,,,,,,,,,,,L7G,
A1,,,,,,,,,,,0,RF,RF,A2   ,RF,,,,,,,,,,,,,,,
A3,A6,,A5,A4,A4,A4,A4,A4,A4,A4,20,High,A2,A2   ,A1,74,M,,N,,Y,,,,,,,,M1W,A6
A3,A1,,A5,A4,A4,A4,A4,A4,A4,A4,20,High,A2,A2   ,A1,74,M,,N,,Y,,,,,,,,m1w,A6
A1,-oth-,Information,,,A3,,,,,,0,RF,A2,A2   ,RF,68,F,,N,,,,,,,Y,,,,A6
A2,A2,,A5,A3,A4,A3,A3,A3,A3,A3,15,High,A2,A1   ,A1,,F,,,,,,,,,,,,,
A3,A1,,A5,A4,A4,A4,A4,A4,A4,A4,20,High,A2,A2   ,A1,74,M,,N,,Y,,,,,,,,M1W,A6
A2,A2,,A4,A3,A3,A3,A3,A3,A3,A3,15,High,A2,A2   ,A1,,F,,,,,,,,,,,,,
A3,A3,,A3,A2,A3,,,,,,0,RF,A2,A1   ,A3,71,F,,N,,,,,,,,,Y,L9T,A6
A2,-oth-,be educated and learn how to deal with situations,A3,RF,A3,,,,,,0,RF,A2,RF   ,A3,67,F,,N,,Y,,,,,,,,L6M,A6
A2,-oth-,be educated and learn how to deal/react to difficult situations,A3,A3,A3,,,,,,0,RF,A2,A2   ,A3,67,F,,N,,Y,,,,,,,,L6M,A6
A1,-oth-,Questions do not relate to the Aromatherapy Zoom we had today,,,RF,,,,,,0,RF,RF,RF   ,RF,,F,,,,,,,,,,,,,
A2,A6,,A3,A3,A3,,,,,,0,RF,A2,A2   ,A3,76,F,,N,,,,,,,,Y,,,A6
A3,A4,,A3,A2,A3,,,,,,0,RF,A2,A1   ,A3,78,F,,N,,,,,,,Y,,,L7G,A6
A3,-oth-,To make caring for my mother with Alzheimers an easier experience with the help of all these lovely support coordinators & community,A5,A2,A4,,,,,,0,RF,A2,A1   ,A1,56,F,,N,,,,,,,Y,,,L0G,A5
A1,A2,,,,A3,A3,A3,A3,RF,A3,12,Mid,A2,A2   ,RF,43,F,,RF,,Y,,,,,,,,M1S,A4
A2,A2,,A3,A4,A3,A4,A4,A4,A4,A4,20,High,A2,A2   ,A3,43,F,,RF,,Y,,,,,,,,M1S,A4
A3,A1,,A4,A3,A4,,,,,,0,RF,A2,A1   ,A1,51,F,,,,,,,,,,,,L2R,A5
A3,A5,,A5,A3,A4,,,,,,0,RF,A2,A1   ,A1,,,,,,,,,,,,,,,
A2,A1,,A5,A3,A4,,,,,,0,RF,A2,A1   ,A1,36,M,,N,,,,,,,,,,L2R,A4
A1,A5,,,,A4,,,,,,0,RF,A2,A2   ,RF,43,F,,N,,,,,Y,,,,,L2R,A4
A2,A5,,A5,A2,A3,A4,A4,A4,A4,A4,20,High,A2,A1   ,A1,15,F,,N,,Y,,Y,,,,,,L3R,A2
A2,A3,,A3,A2,A2,A3,A3,A3,A3,A3,15,High,A1,A2   ,A3,37,NB,,DK,,,,,,,,Y,,,A4
A3,A2,,A5,A4,A4,A4,A3,A2,A3,A3,15,High,A2,A2   ,A1,33,F,,N,,Y,,,,,,,,M1S,A4
A3,A1,,A4,A4,A4,A4,A4,A3,A4,A4,19,High,A2,A2   ,A1,33,F,,N,,Y,,,,,,,,M1S,A4
A2,A3,,A3,A2,A3,A3,A3,A3,A3,A3,15,High,A2,A1   ,A3,15,F,,N,,Y,,Y,,,,,,L4G,A2
A2,A4,,A2,A2,A2,,,,,,0,RF,A1,A2   ,A2,40,F,,N,,Y,,,,,,,,L5R,A4
A2,A4,,A4,RF,RF,A4,A4,A3,A4,A4,19,High,RF,RF   ,A1,45,F,,N,,Y,,,,,,,,M2H,A5
A2,A4,,A4,A1,A1,A4,A3,A4,A4,A4,19,High,A1,A2   ,A1,45,F,,Y,,Y,,,,,,,,M2H,A5
A3,A6,,A5,A4,A4,A4,A3,A4,A3,A3,17,High,A2,A2   ,A1,41,F,,N,,,,,,,,,Y,L1X,A4
A3,A4,,A5,A4,A4,A4,A4,A4,A3,A3,18,High,A2,A2   ,A1,41,RF,,RF,,,,,,,,,Y,,A4
A1,A6,,,,A1,,,,,,0,RF,A1,A2   ,RF,56,F,,N,Y,,,,,,,,,,A5
A1,A5,,,,A3,A4,A4,A3,A4,A4,19,High,A2,A2   ,RF,19,M,,N,,,,,,,,Y,,L3S,A3
A2,A5,,A2,A2,A2,RF,A3,A3,A3,RF,9,Low,A1,A2   ,A2,14,F,,N,,Y,,,,,,,,,A2
A1,A2,,,,A2,A3,A3,A3,A2,A4,15,High,A1,A2   ,RF,16,F,,N,,,,,,,,Y,,L4E,A2
A3,A3,,A4,A1,A1,A4,A4,A4,A4,A4,20,High,A1,A2   ,A1,40,NB,,N,Y,,,,,,,,,L8L,A4
A1,A5,,,,A2,A4,A4,A4,A3,A4,19,High,A1,A2   ,RF,36,F,,Y,,,,,,,Y,,,N4S,A4
A2,A5,,A4,A3,A3,,,,,,0,RF,A2,A2   ,A1,0,F,,N,,,,,,,,,,L6j,
A1,A6,,,,A3,A3,A4,A3,A3,A4,17,High,A2,A2   ,RF,41,F,,N,,,,,,,,Y,,L6Y,A4
A1,A6,,,,A3,A3,A3,A2,A3,A3,14,Mid,A2,A2   ,RF,41,F,,N,,,,,,,,Y,,l6y,A4
A1,A5,,,,A2,A3,A3,A3,A3,A3,15,High,A1,A2   ,RF,39,M,,N,,Y,,,,,,,,l7a,A4
A2,A5,,A5,A2,A4,,,,,,0,RF,A2,A1   ,A1,67,F,,N,,,,,,,Y,,,L6H,A6
A2,A5,,A5,A2,A4,,,,,,0,RF,A2,A1   ,A1,67,F,,N,,,,,,,Y,,,L6H,A6
A3,A3,,A3,A3,A3,,,,,,0,RF,A2,A2   ,A3,61,F,,N,,,,,,,Y,,,L9T,A5
A1,A5,,,,A4,,,,,,0,RF,A2,A2   ,RF,72,F,,N,,,,,,,Y,,,L7P,A6
A2,A3,,A4,A2,A3,,,,,,0,RF,A2,A1   ,A1,74,F,,N,,,,,,,,,,L6M,A6
A1,-oth-,Recreational activity,,,A4,,,,,,0,RF,A2,A2   ,RF,68,F,,N,,,,,,,Y,,,L6K,A6
A3,A5,,A3,A2,A3,,,,,,0,RF,A2,A1   ,A3,57,F,,N,,,,,,,Y,,,,A5
A1,A2,,,,A3,,,,,,0,RF,A2,A2   ,RF,77,F,,N,Y,Y,Y,Y,Y,Y,,,,L7M,A6
A1,A2,,,,A3,,,,,,0,RF,A2,A2   ,RF,77,F,,N,Y,Y,Y,Y,Y,Y,,,,L7M,A6
A1,A2,,,,A3,,,,,,0,RF,A2,A2   ,RF,77,F,,N,Y,Y,Y,Y,Y,Y,,,,L7M,A6
A1,A1,,,,A1,A3,A3,RF,A3,A3,12,Mid,A1,A2   ,RF,29,F,,N,,,,,,,Y,,,,A4
A1,A5,,,,A4,A4,A4,A4,A4,A4,20,High,A2,A2   ,RF,,F,,,,,,,,,,,,L6y,
A2,,,,,,,,,,,0,RF,RF,A2   ,RF,,,,,,,,,,,,,,,
A2,A5,,A5,A2,A3,A4,A4,A4,A4,A4,20,High,A2,A1   ,A1,70,F,,N,,,,,,,,,,M1E,A6
A2,A5,,A5,A2,A3,A4,A4,A4,A4,A4,20,High,A2,A1   ,A1,70,F,,N,,,,,,,,,,M1E,A6
A1,A6,,,,A3,A3,A4,A4,A4,A4,19,High,A2,A2   ,RF,12,F,,N,,,,Y,,,,,,,A1
A2,A5,,A4,A2,A3,,,,,,0,RF,A2,A1   ,A1,34,F,,N,,,,,,,,,,,A4
A2,A2,,A4,A2,A2,A3,A3,A3,A3,A4,16,High,A1,A2   ,A1,,F,,,,,,,,,,,,L4E,
A2,A5,,A3,A2,A3,A3,A3,A3,A3,A3,15,High,A2,A1   ,A3,15,F,,N,,,,,,,,Y,,M1V,A2
A2,A5,,A4,RF,RF,A4,A4,A3,A3,A4,18,High,RF,RF   ,A1,15,M,,N,,Y,,,,,,,,L3p,A2
A1,A3,,,,A2,,,,,,0,RF,A1,A2   ,RF,16,M,,Y,,,,Y,,,,,,N4T,A2
A3,A3,,A5,A2,A3,,,,,,0,RF,A2,A1   ,A1,67,F,,N,,Y,,,,,,,,L6M,A6
A3,A3,,A5,A2,A4,,,,,,0,RF,A2,A1   ,A1,61,F,,N,,,,,,,Y,,,L9T,A5
A2,A2,,A5,A3,A4,,,,,,0,RF,A2,A1   ,A1,75,F,,N,,,,,,,Y,,,L7M,A6
A2,A2,,A4,A3,A4,,,,,,0,RF,A2,A1   ,A1,75,F,,N,,,,,,,Y,,,L7m,A6
A1,A1,,,,A4,A4,A4,A4,A4,A4,20,High,A2,A2   ,RF,21,F,,N,,,,Y,,,,,,N5C,A3
A3,A2,,A5,A2,A4,,,,,,0,RF,A2,A1   ,A1,75,F,,N,,,,,,,Y,,,L7M,A6
A1,A3,,,,A2,,,,,,0,RF,A1,A2   ,RF,75,F,,N,,,,,,,Y,,,,A6
A1,A6,,,,RF,,,,,,0,RF,RF,RF   ,RF,74,F,,N,,,,,,,Y,,,L7M,A6
A3,A3,,A5,A1,A3,,,,,,0,RF,A2,A1   ,A1,,M,,,,,,,,,,,,L6m,
A1,A6,,,,A3,,,,,,0,RF,A2,A2   ,RF,63,F,,N,,,,,,,Y,,,L7M,A5
A1,A6,,,,A3,,,,,,0,RF,A2,A2   ,RF,63,F,,N,,,,,,,Y,,,L7M,A5
A2,A2,,A4,A2,A3,A3,A4,A3,A4,A4,18,High,A2,A1   ,A1,15,F,,N,,Y,,Y,,,,,,L4G,A2
A3,A2,,A5,A3,A4,,,,,,0,RF,A2,A1   ,A1,59,F,,N,,Y,,,,,,,,L7L,A5
A3,A3,,,A3,,,,,,,0,RF,RF,A2   ,RF,85,F,,N,,,,,,,Y,,,L7P,A6
A2,A5,,A5,A2,A3,,,,,,0,RF,A2,A1   ,A1,61,F,,N,,,,,,,Y,,,L6J,A5
A1,A5,,,,RF,A4,A4,A4,A4,A4,20,High,RF,RF   ,RF,17,F,,N,,Y,,,,,,,,,A2
A1,A5,,,,A2,A3,A4,A3,A3,A4,17,High,A1,A2   ,RF,17,M,,N,,,,,,,Y,Y,,L3P,A2
A1,A3,,,,A2,A3,A3,A2,A3,A3,14,Mid,A1,A2   ,RF,16,M,,N,,,,,,,Y,,,L3P,A2
A2,A5,,A3,A2,A3,A3,A3,A3,A3,A3,15,High,A2,A1   ,A3,15,M,,N,,Y,,,,,,Y,,L3S,A2
A2,A5,,A5,A3,A4,,,,,,0,RF,A2,A1   ,A1,81,F,,N,,,,,,,Y,,,L6M,A6
A1,A3,,,,A2,,,,,,0,RF,A1,A2   ,RF,70,F,,N,,Y,,,,,,,,L5V,A6
A1,A3,,,,A2,,,,,,0,RF,A1,A2   ,RF,70,F,,N,,Y,,,,,,,,L5V,A6
A3,A6,,A5,A3,A4,,,,,,0,RF,A2,A1   ,A1,61,F,,N,,,,,,,Y,,,L7g,A5
A1,A3,,,,A3,,,,,,0,RF,A2,A2   ,RF,73,F,,N,,,,,,,Y,,,L6J,A6
A1,A5,,,,A3,,,,,,0,RF,A2,A2   ,RF,55,F,,N,,Y,,,,,,,,L5v,A5
A3,A5,,A4,A2,A4,RF,A3,A3,A3,A3,12,Mid,A2,A1   ,A1,64,F,,N,,,Y,,,,,,,L3V,A5
A1,A5,,,,A2,A2,A2,A3,A2,A3,12,Mid,A1,A2   ,RF,,F,,,,,,,,,,,,N0H,
A1,A5,,,,A2,A3,A3,A2,A2,A3,13,Mid,A1,A2   ,RF,66,F,,N,,,Y,,,,,,,L3v,A6
A1,A5,,,,A2,A2,A2,A2,A3,A3,12,Mid,A1,A2   ,RF,69,F,,N,,,Y,,,,,,,L3V,A6
A3,-oth-,To learn,A4,A4,A4,A3,A3,A3,A3,A3,15,High,A2,A2   ,A1,54,F,,N,,,Y,,Y,,,,,L4M,A5
A2,A5,,A3,A3,A4,A3,A4,A4,A4,A4,19,High,A2,A1   ,A3,50,F,,N,,,Y,,,,,,,604,A5
A1,A3,,,,A1,A3,A3,RF,A2,A3,11,Mid,A1,A2   ,RF,16,M,,Y,,,,Y,,,,,,,A2
A2,A1,,A5,A3,A4,A4,A4,A3,A4,A4,19,High,A2,A1   ,A1,71,F,,N,,,,,,,,,Y,M1E,A6
A2,A2,,A4,A4,A4,A3,A2,A1,A3,A3,12,Mid,A2,A2   ,A1,83,F,,N,,,,,,,,Y,,M1E,A6
A2,A2,,A4,A4,A4,A3,A2,A1,A3,A3,12,Mid,A2,A2   ,A1,83,F,,N,,,,,,,Y,,,M1E,A6
A2,A5,,A5,A3,A4,A4,A4,A4,A4,A2,18,High,A2,A1   ,A1,67,F,,N,Y,,,,,,,,,M1E,A6
A2,A5,,A5,A3,A4,A4,A4,A4,A4,A2,18,High,A2,A1   ,A1,67,F,,N,Y,,,,,,,,,M1E,A6
A2,A5,,A5,A2,A4,A3,A3,A3,A3,A3,15,High,A2,A1   ,A1,63,M,,N,,,,,Y,,,,,M1E,A5
A2,A5,,A5,A2,A4,A3,A3,A3,A3,A3,15,High,A2,A1   ,A1,63,M,,N,,,,,Y,,,,,M1E,A5
A2,A2,,A5,A4,A4,A3,A2,A3,A3,A3,14,Mid,A2,A2   ,A1,77,M,,N,,,,,,,,,Y,M1E,A6
A2,A1,,A5,A3,A4,A3,A3,A3,A4,A3,16,High,A2,A1   ,A1,63,F,,N,Y,,,,,,,,,M1E,A5
A1,A2,,,,A3,A3,A3,A3,RF,A4,13,Mid,A2,A2   ,RF,,M,,,,,,,,,,,,,
A1,A1,,,,A3,A4,A4,A3,A3,A4,18,High,A2,A2   ,RF,40,F,,N,Y,,,,,,,,,L4T,A4
A1,-oth-,Connect and learn,,,A2,,,,,,0,RF,A1,A2   ,RF,62,F,,N,,,,,,,Y,,,L2S,A5
A1,A5,,,,A3,,,,,,0,RF,A2,A2   ,RF,41,F,,N,,Y,,,,,,,,L2R,A4
A1,A2,,,,A2,,,,,,0,RF,A1,A2   ,RF,46,F,,N,,,,,Y,,,,,L2R,A5
A1,-oth-,Learn,,,A2,,,,,,0,RF,A1,A2   ,RF,39,M,,N,,,,,,,Y,,,L2M,A4
A2,A5,,A4,A2,A3,,,,,,0,RF,A2,A1   ,A1,35,M,,N,,,,,Y,,,,,L2R,A4
A1,A2,,,,A1,,,,,,0,RF,A1,A2   ,RF,43,F,,N,Y,,,,,,,,,,A4
A1,A5,,,,RF,,,,,,0,RF,RF,RF   ,RF,,RF,,,,,,,,,,,,,
A1,-oth-,Have something to do during covid,,,A2,,,,,,0,RF,A1,A2   ,RF,45,F,,N,,,,,Y,,,,,,A5
A1,A2,,,,A2,,,,,,0,RF,A1,A2   ,RF,51,F,,N,,,,,Y,,,,,L0S,A5
A1,A5,,,,A3,,,,,,0,RF,A2,A2   ,RF,29,F,,N,,,,,Y,,,,,L0R,A4
A3,A5,,A5,A1,A3,,,,,,0,RF,A2,A1   ,A1,36,F,,N,,,,,Y,,,,,L0R,A4
